Theta1,Theta1_dot, Theta2, Theta2_dot
4.845469,5.577249,6.171097,-1.626203
4.873631,5.615398,6.162688,-1.937415
4.901983,5.652275,6.152707,-2.250907
4.930520,5.687933,6.141145,-2.565687
4.959235,5.722438,6.127996,-2.880696
4.988122,5.755868,6.113259,-3.194805
5.017176,5.788314,6.096940,-3.506826
5.046392,5.819873,6.079050,-3.815515
5.075765,5.850648,6.059609,-4.119573
5.105292,5.880750,6.038640,-4.417655
5.134968,5.910288,6.016174,-4.708372
5.164792,5.939374,5.992251,-4.990297
5.194761,5.968115,5.966916,-5.261969
5.224873,5.996617,5.940221,-5.521898
5.255128,6.024980,5.912228,-5.768572
5.285524,6.053296,5.883004,-6.000463
5.316062,6.081653,5.852625,-6.216040
5.346742,6.110132,5.821176,-6.413775
5.377564,6.138809,5.788746,-6.592159
5.408530,6.167753,5.755436,-6.749717
5.439641,6.197030,5.721350,-6.885023
5.470898,6.226702,5.686603,-6.996716
5.502305,6.256829,5.651314,-7.083521
5.533863,6.287469,5.615609,-7.144260
5.565574,6.318681,5.579622,-7.177875
5.597442,6.350521,5.543489,-7.183436
5.629471,6.383045,5.507353,-7.160153
5.661662,6.416306,5.471358,-7.107388
5.694021,6.450353,5.435656,-7.024649
5.726551,6.485230,5.400395,-6.911601
5.759256,6.520972,5.365731,-6.768056
5.792141,6.557596,5.331815,-6.593965
5.825210,6.595105,5.298803,-6.389418
5.858466,6.633476,5.266848,-6.154626
5.891915,6.672654,5.236101,-5.889919
5.925561,6.712550,5.206713,-5.595738
5.959406,6.753032,5.178832,-5.272629
5.993453,6.793920,5.152603,-4.921245
6.027704,6.834981,5.128168,-4.542353
6.062160,6.875929,5.105664,-4.136837
6.096819,6.916423,5.085224,-3.705710
6.131679,6.956065,5.066977,-3.250128
6.166735,6.994412,5.051043,-2.771396
6.201980,7.030974,5.037538,-2.270978
6.237404,7.065228,5.026569,-1.750501
6.272996,7.096628,5.018236,-1.211745
6.308741,7.124615,5.012628,-0.656636
6.344622,7.148628,5.009826,-0.087220
6.380617,7.168120,5.009901,0.494358
6.416703,7.182562,5.012910,1.085890
6.452856,7.191456,5.018903,1.685143
6.489046,7.194343,5.027916,2.289892
6.525244,7.190801,5.039975,2.897958
6.561417,7.180455,5.055094,3.507243
6.597530,7.162972,5.073279,4.115752
6.633547,7.138063,5.094524,4.721620
6.669432,7.105480,5.118814,5.323126
6.705144,7.065012,5.146126,5.918707
6.740646,7.016483,5.176429,6.506958
6.775895,6.959749,5.209685,7.086639
6.810851,6.894696,5.245851,7.656670
6.845472,6.821233,5.284876,8.216130
6.879716,6.739300,5.326707,8.764252
6.913540,6.648860,5.371287,9.300419
6.946902,6.549905,5.418554,9.824158
6.979758,6.442458,5.468447,10.335140
7.012067,6.326577,5.520900,10.833177
7.043785,6.202359,5.575848,11.318218
7.074872,6.069950,5.633225,11.790345
7.105285,5.929549,5.692967,12.249772
7.134986,5.781421,5.755010,12.696832
7.163935,5.625902,5.819292,13.131970
7.192096,5.463415,5.885752,13.555718
7.219434,5.294476,5.954334,13.968672
7.245917,5.119706,6.024983,14.371453
7.271516,4.939841,6.097649,14.764657
7.296207,4.755739,6.172284,15.148802
7.319967,4.568383,6.248842,15.524251
7.342783,4.378892,6.327280,15.891141
7.364643,4.188508,6.407554,16.249298
7.385545,3.998602,6.489620,16.598153
7.405492,3.810653,6.573430,16.936674
7.424494,3.626240,6.658932,17.263304
7.442570,3.447014,6.746065,17.575933
7.459749,3.274676,6.834756,17.871893
7.476064,3.110938,6.924919,18.148012
7.491562,2.957497,7.016453,18.400698
7.506295,2.815988,7.109236,18.626081
7.520323,2.687951,7.203130,18.820205
7.533717,2.574786,7.297975,18.979245
7.546550,2.477720,7.393591,19.099755
7.558906,2.397769,7.489784,19.178920
7.570871,2.335711,7.586343,19.214784
7.582535,2.292061,7.683052,19.206439
7.593991,2.267054,7.779686,19.154152
7.605333,2.260642,7.876028,19.059411
7.616655,2.272491,7.971863,18.924890
7.628047,2.301995,8.066997,18.754323
7.639599,2.348298,8.161249,18.552315
7.651394,2.410320,8.254465,18.324090
7.663511,2.486799,8.346518,18.075221
7.676021,2.576326,8.437307,17.811345
7.688990,2.677395,8.526762,17.537912
7.702474,2.788446,8.614837,17.259964
7.716522,2.907911,8.701512,16.981971
7.731176,3.034247,8.786792,16.707728
7.746470,3.165977,8.870696,16.440308
7.762430,3.301713,8.953261,16.182057
7.779074,3.440176,9.034535,15.934644
7.796417,3.580207,9.114573,15.699128
7.814465,3.720778,9.193436,15.476045
7.833221,3.860985,9.271187,15.265504
7.852681,4.000049,9.347889,15.067282
7.872841,4.137308,9.423603,14.880906
7.893689,4.272204,9.498389,14.705737
7.915215,4.404276,9.572303,14.541029
7.937403,4.533147,9.645398,14.385983
7.960238,4.658516,9.717721,14.239789
7.983701,4.780144,9.789316,14.101655
8.007773,4.897848,9.860223,13.970828
8.032436,5.011491,9.930479,13.846612
8.057667,5.120978,10.000116,13.728372
8.083447,5.226245,10.069164,13.615540
8.109754,5.327259,10.137649,13.507616
8.136567,5.424009,10.205597,13.404166
8.163864,5.516507,10.273028,13.304818
8.191624,5.604780,10.339963,13.209260
8.219825,5.688870,10.406422,13.117231
8.248448,5.768834,10.472420,13.028517
8.277471,5.844736,10.537976,12.942947
8.306873,5.916652,10.603104,12.860388
8.336636,5.984662,10.667818,12.780735
8.366739,6.048856,10.732135,12.703912
8.397163,6.109326,10.796067,12.629864
8.427890,6.166170,10.859629,12.558555
8.458902,6.219487,10.922833,12.489962
8.490181,6.269381,10.985694,12.424074
8.521710,6.315956,11.048225,12.360887
8.553473,6.359316,11.110440,12.300405
8.585452,6.399566,11.172351,12.242633
8.617634,6.436812,11.233973,12.187581
8.650003,6.471156,11.295318,12.135256
8.682545,6.502701,11.356401,12.085666
