Theta1,Theta1dot, Theta2, Theta2dot
1.332367,0.871402,0.356829,-5.517467
1.336535,0.727068,0.329113,-5.467862
1.339976,0.581414,0.301646,-5.419718
1.342682,0.434613,0.274421,-5.373015
1.344648,0.286835,0.247431,-5.327689
1.345870,0.138247,0.220668,-5.283636
1.346343,-0.010986,0.194126,-5.240714
1.346065,-0.160702,0.167801,-5.198751
1.345032,-0.310748,0.141687,-5.157539
1.343245,-0.460971,0.115780,-5.116849
1.340700,-0.611229,0.090079,-5.076425
1.337400,-0.761382,0.064581,-5.035994
1.333344,-0.911296,0.039289,-4.995267
1.328533,-1.060843,0.014202,-4.953942
1.322970,-1.209900,-0.010675,-4.911707
1.316657,-1.358345,-0.035338,-4.868245
1.309598,-1.506063,-0.059780,-4.823234
1.301795,-1.652939,-0.083993,-4.776351
1.293254,-1.798859,-0.107967,-4.727275
1.283980,-1.943712,-0.131691,-4.675685
1.273977,-2.087384,-0.155153,-4.621269
1.263253,-2.229764,-0.178337,-4.563717
1.251813,-2.370735,-0.201228,-4.502730
1.239664,-2.510179,-0.223808,-4.438019
1.226816,-2.647976,-0.246058,-4.369303
1.213275,-2.784000,-0.267957,-4.296316
1.199052,-2.918122,-0.289485,-4.218804
1.184155,-3.050208,-0.310617,-4.136530
1.168596,-3.180119,-0.331330,-4.049272
1.152385,-3.307710,-0.351598,-3.956828
1.135534,-3.432831,-0.371396,-3.859013
1.118056,-3.555326,-0.390696,-3.755666
1.099965,-3.675035,-0.409469,-3.646648
1.081274,-3.791794,-0.427688,-3.531848
1.061999,-3.905432,-0.445323,-3.411180
1.042155,-4.015779,-0.462344,-3.284589
1.021759,-4.122660,-0.478722,-3.152051
1.000830,-4.225900,-0.494427,-3.013578
0.979385,-4.325326,-0.509428,-2.869218
0.957445,-4.420767,-0.523697,-2.719057
0.935029,-4.512056,-0.537204,-2.563224
0.912158,-4.599034,-0.549920,-2.401889
0.888855,-4.681550,-0.561819,-2.235267
0.865142,-4.759467,-0.572874,-2.063618
0.841043,-4.832663,-0.583059,-1.887246
0.816581,-4.901031,-0.592352,-1.706503
0.791782,-4.964486,-0.600730,-1.521783
0.766670,-5.022967,-0.608175,-1.333523
0.741269,-5.076436,-0.614668,-1.142200
0.715607,-5.124884,-0.620195,-0.948325
0.689708,-5.168331,-0.624744,-0.752444
0.663597,-5.206826,-0.628304,-0.555125
0.637299,-5.240449,-0.630870,-0.356959
0.610839,-5.269309,-0.632438,-0.158548
0.584242,-5.293547,-0.633007,0.039499
0.557529,-5.313328,-0.632580,0.236573
0.530723,-5.328844,-0.631162,0.432073
0.503847,-5.340309,-0.628762,0.625412
0.476919,-5.347954,-0.625391,0.816024
0.449960,-5.352027,-0.621065,1.003369
0.422986,-5.352784,-0.615799,1.186934
0.396015,-5.350488,-0.609614,1.366242
0.369061,-5.345405,-0.602531,1.540851
0.342139,-5.337796,-0.594575,1.710356
0.315260,-5.327919,-0.585772,1.874388
0.288436,-5.316022,-0.576150,2.032616
0.261676,-5.302341,-0.565739,2.184745
0.234990,-5.287098,-0.554570,2.330513
0.208384,-5.270499,-0.542674,2.469689
0.181867,-5.252735,-0.530086,2.602074
0.155442,-5.233976,-0.516840,2.727493
0.129114,-5.214376,-0.502971,2.845799
0.102889,-5.194072,-0.488515,2.956865
0.076769,-5.173182,-0.473509,3.060585
0.050756,-5.151808,-0.457990,3.156872
0.024854,-5.130036,-0.441995,3.245656
-0.000937,-5.107938,-0.425563,3.326884
-0.026614,-5.085569,-0.408730,3.400516
-0.052177,-5.062976,-0.391537,3.466529
-0.077624,-5.040190,-0.374020,3.524912
-0.102955,-5.017234,-0.356218,3.575669
-0.128168,-4.994120,-0.338169,3.618818
-0.153264,-4.970851,-0.319913,3.654390
-0.178241,-4.947424,-0.301486,3.682431
-0.203098,-4.923827,-0.282927,3.703000
-0.227836,-4.900043,-0.264274,3.716172
-0.252452,-4.876047,-0.245562,3.722035
-0.276946,-4.851811,-0.226830,3.720694
-0.301316,-4.827302,-0.208112,3.712266
-0.325562,-4.802481,-0.189446,3.696885
-0.349681,-4.777305,-0.170865,3.674699
-0.373672,-4.751728,-0.152403,3.645872
-0.397532,-4.725701,-0.134094,3.610579
-0.421260,-4.699169,-0.115970,3.569013
-0.444852,-4.672076,-0.098063,3.521378
-0.468306,-4.644360,-0.080403,3.467894
-0.491619,-4.615958,-0.063019,3.408790
-0.514786,-4.586804,-0.045939,3.344311
-0.537805,-4.556828,-0.029189,3.274712
-0.560670,-4.525959,-0.012796,3.200258
-0.583377,-4.494123,0.003216,3.121227
-0.605922,-4.461243,0.018825,3.037905
-0.628298,-4.427241,0.034010,2.950587
-0.650501,-4.392041,0.048750,2.859577
-0.672523,-4.355562,0.063028,2.765186
-0.694359,-4.317726,0.076827,2.667731
-0.716001,-4.278456,0.090131,2.567536
-0.737442,-4.237675,0.102928,2.464928
-0.758674,-4.195311,0.115206,2.360239
-0.779690,-4.151294,0.126954,2.253801
-0.800481,-4.105558,0.138164,2.145949
-0.821038,-4.058044,0.148829,2.037016
-0.841352,-4.008697,0.158945,1.927334
-0.861414,-3.957471,0.168508,1.817230
-0.881214,-3.904326,0.177516,1.707025
-0.900744,-3.849231,0.185970,1.597033
-0.919992,-3.792164,0.193870,1.487560
